0,58,6,4.46,560000.0,3.04,Approved,Single
1,24,0,0.5,824000.0,1.5,Approved,Single
4,22,0,11.585,1349000.0,0.04,Approved,Single
9,23,10,5.875,245000.0,3.17,Approved,Single
11,47,6,8.0,1260000.0,7.875,Approved,Single
12,27,1,14.5,11000.0,3.085,Approved,Single
15,36,0,5.125,4000000.0,5,Approved,Single
16,22,5,10.75,560000.0,0.415,Approved,Single
19,23,2,11.75,551000.0,0.5,Approved,Single
27,41,23,2.04,1236000.0,0.125,Approved,Married
33,23,2,0.79,400000.0,1.5,Approved,Married
35,36,11,1.0,456000.0,2,Approved,Single
41,49,0,1.5,27000.0,0,NotApproved,Single
45,28,2,1.0,500000.0,1,NotApproved,Single
50,19,5,0.75,5000.0,0.795,NotApproved,Single
51,24,3,1.04,147000.0,0.5,NotApproved,Married
56,20,1,10.335,50000.0,0.335,Approved,Single
59,24,12,12.5,567000.0,1.5,Approved,Single
65,47,6,8.0,5.11E7,6.5,Approved,Single
69,18,6,9.5,600000.0,1.625,Approved,Single
70,26,2,13.5,5000000.0,5,Approved,Single
71,56,15,16.0,247000.0,0,Approved,Single
77,40,14,7.54,2300000.0,8,Approved,Married
78,30,7,6.5,3065000.0,4,Approved,Single
79,52,14,15.0,2200000.0,5.5,Approved,Single
80,46,11,0.46,6000.0,0.415,Approved,Single
81,58,14,10.0,1602000.0,4,Approved,Single
83,68,14,15.0,3376000.0,0,Approved,Single
88,60,0,16.5,1.0561E7,11,Approved,Single
89,40,0,10.0,837000.0,1.75,Approved,Single
91,32,0,0.54,1.1177E7,0.04,Approved,Single
95,26,0,8.665,150000.0,1.415,Approved,Single
96,18,4,9.25,540000.0,1.21,Approved,Single
99,20,3,3.0,6000.0,0.165,Approved,Single
100,57,7,19.5,3000000.0,5.5,Approved,Single
101,22,7,5.665,3257000.0,2.585,Approved,Single
105,28,5,1.04,1430000.0,2.5,Approved,Single
111,24,1,0.5,678000.0,1.25,Approved,Single
112,41,0,1.0,300000.0,2.25,Approved,Single
115,35,8,12.0,6590000.0,14,Approved,Single
122,18,4,9.25,500000.0,1,Approved,Married
124,47,2,3.0,1704000.0,13.875,Approved,Single
127,58,13,21.0,6700000.0,10,Approved,Single
128,20,5,1.835,2503000.0,2.085,Approved,Single
132,18,5,7.5,2.6726E7,2.71,Approved,Single
136,19,11,0.21,99000.0,0.29,Approved,Single
139,17,11,11.0,3000000.0,1,Approved,Single
142,20,0,9.54,1000000.0,0.04,NotApproved,Single
143,48,0,1.335,120000.0,0.335,NotApproved,Single
144,20,0,10.5,32000.0,0,NotApproved,Married
147,19,0,5.415,484000.0,0.29,NotApproved,Single
150,16,1,1.25,98000.0,0.25,NotApproved,Single
153,"",2,1.5,105000.0,0,NotApproved,Single
156,18,1,10.0,1000.0,1,NotApproved,Single
159,16,1,0.335,126000.0,0,NotApproved,Single
160,31,2,3.125,4000.0,3.04,NotApproved,Single
164,57,1,2.0,10000.0,6.5,NotApproved,Single
165,24,0,13.665,1000.0,1.5,NotApproved,Single
167,31,0,3.0,20000.0,0,NotApproved,Married
168,24,0,4.5,6000.0,1,NotApproved,Single
170,16,0,0.21,1000.0,0.125,NotApproved,Single
171,18,0,10.0,42000.0,0.415,NotApproved,Single
177,33,0,0.375,44000.0,0.375,Approved,Single
179,29,0,1.085,13000.0,1,NotApproved,Married
181,33,0,2.5,2000.0,2.5,NotApproved,Married
183,25,0,12.5,1062000.0,1,NotApproved,Single
194,26,0,2.0,1000.0,0,NotApproved,Single
196,16,2,0.165,1000.0,1,NotApproved,Single
200,22,0,6.165,1000000.0,0.165,NotApproved,Single
201,23,0,11.5,16000.0,3,NotApproved,Married
207,24,0,2.5,456000.0,4.5,NotApproved,Married
208,56,0,4.25,4000.0,5,NotApproved,Married
214,23,0,0.585,87000.0,0.125,NotApproved,Married
218,40,2,8.125,18000.0,0.165,NotApproved,Married
219,19,1,0.665,2000.0,1,NotApproved,Married
228,26,0,2.54,60000.0,0,NotApproved,Married
230,27,0,2.04,50000.0,0.25,NotApproved,Single
237,53,0,0.165,27000.0,0,NotApproved,Single
238,27,1,1.25,300000.0,0,NotApproved,Single
242,"",0,11.25,5200000.0,0,NotApproved,Single
243,27,0,1.665,1000.0,0,NotApproved,Single
252,36,10,0.29,18000.0,0,NotApproved,Single
253,23,1,1.835,53000.0,0,NotApproved,Single
254,27,1,3.0,10000.0,2.79,NotApproved,Single
256,30,3,1.375,33000.0,0.04,NotApproved,Single
257,21,0,11.665,5000.0,0.085,NotApproved,Single
263,16,6,0.5,35000.0,0.165,NotApproved,Single
265,17,10,9.5,10000.0,1.75,NotApproved,Single
271,47,1,0.75,892000.0,2.75,Approved,Single
275,25,0,0.875,5860000.0,1.04,Approved,Single
279,64,1,0.165,100000.0,0,Approved,Single
282,18,2,9.0,591000.0,0.75,Approved,Single
283,24,19,3.0,500000.0,1.835,Approved,Single
284,30,1,12.0,19000.0,2,Approved,Single
287,46,0,4.0,960000.0,0,Approved,Single
288,60,4,5.0,99000.0,4,Approved,Single
291,30,5,5.29,500000.0,2.25,Approved,Single
293,22,10,8.5,990000.0,1.75,NotApproved,Single
294,57,0,0.335,2197000.0,1,NotApproved,Single
295,55,3,7.08,50000.0,6.75,NotApproved,Single
297,25,0,2.085,1000.0,2.75,NotApproved,Single
310,22,4,11.25,321000.0,0.75,Approved,Married
312,32,16,1.46,2079000.0,1.085,Approved,Single
314,22,7,2.29,2384000.0,2.29,Approved,Single
315,25,6,12.33,458000.0,3.5,Approved,Single
320,35,4,0.915,1583000.0,0.75,Approved,Single
324,65,11,14.0,1400000.0,0,Approved,Single
325,20,4,10.0,1465000.0,1,Approved,Single
331,28,0,15.0,1.3212E7,0,Approved,Married
339,46,8,3.0,4159000.0,2.375,Approved,Single
340,21,3,6.0,918000.0,2.5,Approved,Single
343,29,4,0.46,500000.0,0.54,Approved,Single
357,19,0,0.665,5000.0,1.665,NotApproved,Single
358,22,0,1.25,809000.0,0.25,NotApproved,Single
359,27,1,0.29,108000.0,0.125,NotApproved,Single
360,23,1,0.71,4000.0,0.25,NotApproved,Single
367,20,0,8.5,351000.0,0.165,NotApproved,Single
368,35,6,3.75,200000.0,0,NotApproved,Single
370,15,1,7.625,160000.0,0.125,NotApproved,Single
372,23,1,0.83,11000.0,0.415,NotApproved,Single
374,38,0,1.665,390000.0,0.25,NotApproved,Single
375,15,0,0.375,18000.0,1,NotApproved,Single
376,28,1,3.75,154000.0,0.25,NotApproved,Single
377,17,1,0.54,5000.0,1.75,NotApproved,Single
381,50,0,0.835,117000.0,0.5,NotApproved,Single
383,37,0,2.5,246000.0,0.21,NotApproved,Single
384,41,0,1.04,237000.0,0.665,NotApproved,Single
385,30,12,10.665,3000.0,0.085,NotApproved,Single
387,17,0,10.21,50000.0,0,NotApproved,Single
392,22,2,0.75,394000.0,2,NotApproved,Single
393,25,1,13.5,1000.0,2,NotApproved,Married
